dellignoto, dell'ignoto,
dafferrargli d'afferrargli
quellorribile quell'orribile
dozio, d'ozio,
allamico, all'amico,
saffollavano s'affollavano
unaltalena un'altalena
daranci, d'aranci,
Nera N'era
mammazzo m'ammazzo
sammazza? s'ammazza?
Mammazzo… M'ammazzo…
mammazzo… m'ammazzo…
glintimi gl'intimi
dallimprovvisa dall'improvvisa
litalianità l'italianità
daltro; d'altro;
Sammazzerà… S'ammazzerà…
dellassicurazione dell'assicurazione
larma. l'arma.
cegli, c'egli,
quarantotto quarant'otto
Lallegrezza L'allegrezza
stessora, stess'ora,
allaltalena; all'altalena;
Saffretta S'affretta
dellajo. dell'ajo.
cosè: cos'è:
lesempio. l'esempio.
allaria… all'aria…
dellArena, dell'Arena,
questacquaccia quest'acquaccia
unecatombe… un'ecatombe…
ventanni vent'anni
mera m'era
dun… d'un…
daltri. d'altri.
chero, ch'ero,
lebbe l'ebbe
lepidemia l'epidemia
poveruomo»? pover'uomo»?
glielassicuro gliel'assicuro
quandinvece quand'invece
questinvidia quest'invidia
limpudenza l'impudenza
centri? c'entri?
Luomo, L'uomo,
certaura cert'aura
luomo; l'uomo;
lenigma. l'enigma.
dintoppare d'intoppare
dinferno. d'inferno.
belluomo, bell'uomo,
unopportunità, un'opportunità,
mammalai m'ammalai
dallaria dall'aria
nellesercito, nell'esercito,
pressa press'a
daccorgersi d'accorgersi
allattaccatura all'attaccatura
sinchinò, s'inchinò,
sostinò s'ostinò
maccompagnava m'accompagnava
leterna l'eterna
dellautorità dell'autorità
dinsulti; d'insulti;
lavversario. l'avversario.
lantipatia l'antipatia
mintende m'intende
dellampia dell'ampia
Unanimuccia Un'animuccia
uninglesina, un'inglesina,
saffaccia s'affaccia
sintenerisce s'intenerisce
nabbiano n'abbiano
quellora? quell'ora?
nellOspedaletto nell'Ospedaletto
allospedale! all'ospedale!
dacqua! d'acqua!
questabitudine. quest'abitudine.
mabbracciò m'abbracciò
linsulto l'insulto
lesito l'esito
glintaccò gl'intaccò
losso, l'osso,
dallontanarmi, d'allontanarmi,
quandegli quand'egli
dellartritide dell'artritide
dinverno! d'inverno!
sandava s'andava
buonora. buon'ora.
latto, l'atto,
naccorgesse. n'accorgesse.
Saspettava S'aspettava
allospedaletto, all'ospedaletto,
unincicciatina! un'incicciatina!
Tadotterò T'adotterò
mallevate m'allevate
dapprovazione. d'approvazione.
destate d'estate
unanca, un'anca,
allaria, all'aria,
quellestate, quell'estate,
Cera, C'era,
doltre d'oltre
dellAcqua dell'Acqua
damor d'amor
lerbetta l'erbetta
allassalto, all'assalto,
sannojava s'annojava
lintento. l'intento.
lombrellino l'ombrellino
lebrietà l'ebrietà
allArena all'Arena
lavventura l'avventura
sintrecciavano s'intrecciavano
savventò s'avventò
nellaccorgersi nell'accorgersi
dallira, dall'ira,
allurto all'urto
lalto l'alto
To, To',
sarrestava s'arrestava
dintrodurla d'introdurla
dallospedale, dall'ospedale,
allospizio all'ospizio
lanemia, l'anemia,
diniezioni d'iniezioni
dallospedale. dall'ospedale.
quelloscura quell'oscura
sallentava s'allentava
dallinesperienza dall'inesperienza
dallappassionata dall'appassionata
glienimportava, glien'importava,
lopposizione l'opposizione
lassegno; l'assegno;
dellanemia. dell'anemia.
allaspetto: all'aspetto:
teri t'eri
dimpazienza, d'impazienza,
larrivo l'arrivo
tuttaccesa tutt'accesa
sintorbidò s'intorbidò
dimbottita. d'imbottita.
limprovviso l'improvviso
Quantè Quant'è
dintrodurre d'introdurre
linsidia l'insidia
Sarrampicano S'arrampicano
laltra; l'altra;
luscita. l'uscita.
daspetto d'aspetto
dallesame dall'esame
allorologio all'orologio
dincartamenti: d'incartamenti:
mentressi mentr'essi
dellabbondante dell'abbondante
lagosto l'agosto
dellavvocato, dell'avvocato,
doro? d'oro?
lattesa. l'attesa.
allabito all'abito
allampia, all'ampia,
Lombra L'ombra
doro: d'oro:
chessi ch'essi
Lorologio L'orologio
glinondarono gl'inondarono
Sinchinò, S'inchinò,
uningollatina. un'ingollatina.
Mararo, Mararo',
glielabbiamo gliel'abbiamo
centra. c'entra.
Mararo!) Mararo'!)
sintromise s'intromise
glindici gl'indici
larmadio l'armadio
saggricciano s'aggricciano
santanima! sant'anima!
quellassassino? quell'assassino?
lorologio. l'orologio.
labitazione l'abitazione
laccollo. l'accollo.
daverli d'averli
Lanima! L'anima!
Lanima L'anima
limmortalità l'immortalità
dellanima; dell'anima;
Limmortalità L'immortalità
dellanima… dell'anima…
sarresta s'arresta
lingegnere…». l'ingegnere…».
larticolo l'articolo
debbessere debb'essere
lesistenza l'esistenza
Cerano C'erano
allAksakof; all'Aksakof;
daspetto! d'aspetto!
dallautorità dall'autorità
nellesercizio nell'esercizio
dellavvocatura, dell'avvocatura,
lintensità l'intensità
dAmleto, d'Amleto,
lipotesi l'ipotesi
daccertare d'accertare
sinquietò s'inquietò
quellesperimento quell'esperimento
nimporta, n'importa,
dessersi d'essersi
laula l'aula
dellumanità; dell'umanità;
lalbero l'albero
allumanità all'umanità
allarticolo all'articolo
dellabitazione? dell'abitazione?
Senzaltro, Senz'altro,
unirrisione. un'irrisione.
dindignazione d'indignazione
allinfamia all'infamia
fossanche foss'anche
savventurava s'avventurava
lagiatezza l'agiatezza
labbandono l'abbandono
limpronta l'impronta
allavvocato all'avvocato
lanno, l'anno,
quelluscio quell'uscio
Nientaltro. Nient'altro.
safferrò, s'afferrò,
sallungava s'allungava
lagguato. l'agguato.
davvocato! d'avvocato!
dallombra, dall'ombra,
Simponeva S'imponeva
Sappioppava S'appioppava
dalcun d'alcun
Lasinella, L'asinella,
chessa ch'essa
nellandare, nell'andare,
duccellini. d'uccellini.
lallegria! l'allegria!
dellasina. dell'asina.
tuttuna tutt'una
lasina, l'asina,
sincupiva s'incupiva
quellabbandono, quell'abbandono,
Lincertezza L'incertezza
uninvidia un'invidia
simpuntò s'impuntò
Simo, Simo',
Sincontrava S'incontrava
lasina l'asina
Lanima, L'anima,
allasinella. all'asinella.
lanima? l'anima?
unombra. un'ombra.
dellasina, dell'asina,
glimpostori gl'impostori
taspetto. t'aspetto.
Sintravedevano S'intravedevano
laltipiano l'altipiano
lapparizione l'apparizione
Ceran C'eran
laria; l'aria;
Simo! Simo'!
danimale d'animale
vincomodate! v'incomodate!
lespiazione. l'espiazione.
di? di'?
nincaricate. n'incaricate.
vho v'ho
Unavemaria Un'avemaria
lassito l'assito
lespiazione l'espiazione
Glingraticolati, Gl'ingraticolati,
tuttinsieme tutt'insieme
savventassero s'avventassero
Saffacciarono S'affacciarono
dellalba. dell'alba.
quelluccellino; quell'uccellino;
varrischiate! v'arrischiate!
Lespiazione, L'espiazione,
dintendere. d'intendere.
lasina; l'asina;
darguta d'arguta
Quandaveva Quand'aveva
belluomo; bell'uomo;
lhai, l'hai,
dacconciarsi d'acconciarsi
perchegli perch'egli
lajutasse l'ajutasse
laspetta l'aspetta
Lespansione L'espansione
Dellonestà Dell'onestà
dastio d'astio
allamore. all'amore.
unacre un'acre
dimbattersi d'imbattersi
nelluno nell'uno
nellaltra, nell'altra,
senzesser senz'esser
lamante l'amante
lorologio; l'orologio;
unoretta. un'oretta.
dartiglieria d'artiglieria
lorologio l'orologio
Seran S'eran
unimpresa, un'impresa,
delludito. dell'udito.
lansia l'ansia
quellinfamia quell'infamia
sallungò, s'allungò,
sarrotolò s'arrotolò
landrone; l'androne;
quellaccensione quell'accensione
glielaccomodo gliel'accomodo
dellUniversità dell'Università
singannava s'ingannava
sinvermigliò s'invermigliò
lonorevole l'onorevole
Destate, D'estate,
dellAteneo dell'Ateneo
lascoltava; l'ascoltava;
lebbrezza l'ebbrezza
allonorevole all'onorevole
alcunaltra alcun'altra
dellAventino dell'Aventino
lAppia, l'Appia,
senzaltro. senz'altro.
dallufficio dall'ufficio
sabbigliò s'abbigliò
dellonorevole dell'onorevole
limbarazzo l'imbarazzo
limpossibile, l'impossibile,
senzombra senz'ombra
davergliela d'avergliela
dellillustre dell'illustre
altruomo altr'uomo
LAscensi L'Ascensi
Granduomo, Grand'uomo,
unesistenza un'esistenza
allinsegnamento. all'insegnamento.
dascoltarlo d'ascoltarlo
Saccorse, S'accorse,
dellindole dell'indole
centravano c'entravano
dallamore. dall'amore.
senzaccorgersene, senz'accorgersene,
dalcuno. d'alcuno.
dallinfanzia dall'infanzia
daccostarsi d'accostarsi
sinaspriva s'inaspriva
linsegnamento l'insegnamento
dallufficio, dall'ufficio,
unacerba un'acerba
glindicava gl'indicava
lalbergo l'albergo
dellon. dell'on.
nellinsegnamento. nell'insegnamento.
lausilio l'ausilio
dellonore dell'onore
chegli, ch'egli,
lon. l'on.
qualcosaltro qualcos'altro
sabbandonò s'abbandonò
quandella quand'ella
laggressione l'aggressione
Lon. L'on.
daffidargliela d'affidargliela
quellopera. quell'opera.
damicizia d'amicizia
nellamico nell'amico
quellascendente quell'ascendente
docchio, d'occhio,
glielavrebbe gliel'avrebbe
laccordo l'accordo
dostile d'ostile
dallenergia dall'energia
lamicizia l'amicizia
savvedeva s'avvedeva
quellattonimento quell'attonimento
nellebetismo nell'ebetismo
dannientamento d'annientamento
dellamico, dell'amico,
queglimpeti quegl'impeti
allesultanza all'esultanza
sindugiò s'indugiò
questabitudine; quest'abitudine;
dinverno, d'inverno,
glimprontavano gl'improntavano
lufficio, l'ufficio,
questuomo quest'uomo
laltezza l'altezza
dellingegno dell'ingegno
daccordare d'accordare
laffetto l'affetto
Nebbe N'ebbe
diciottanni. diciott'anni.
lintermediario l'intermediario
laspetta? l'aspetta?
Unimpressione Un'impressione
dallingenua dall'ingenua
delleducazione, dell'educazione,
dellamicizia dell'amicizia
dallamico, dall'amico,
questimpressione quest'impressione
unangoscia un'angoscia
nandava. n'andava.
sappuntò s'appuntò
dodio, d'odio,
dorrore: d'orrore:
Lira, L'ira,
ceran c'eran
glielavessero gliel'avessero
tantanni? tant'anni?
Sarrestò, S'arrestò,
tantanni, tant'anni,
BUONANIMA. BUON'ANIMA.
dindiscutibile d'indiscutibile
dallegria d'allegria
buonanima; buon'anima;
uneternità: un'eternità:
dellomnibus, dell'omnibus,
allalcova… all'alcova…
naccorgo n'accorgo
allalcova, all'alcova,
lingegner l'ingegner
lavvilimento, l'avvilimento,
lesperienza, l'esperienza,
naccorgeva, n'accorgeva,
quellaltro… quell'altro…
glimpediva gl'impediva
descogitar d'escogitar
lamica, l'amica,
dincoscienza d'incoscienza
dingegnere, d'ingegnere,
dindole d'indole
buonanima? buon'anima?
allorgasmo all'orgasmo
questidea quest'idea
dalleccessivo dall'eccessivo
dingannar d'ingannar
lamica; l'amica;
dOrtensia. d'Ortensia.
daprirlo. d'aprirlo.
saspettavano s'aspettavano
trentanni; trent'anni;
darpa d'arpa
leleganza l'eleganza
larpa l'arpa
dajutare d'ajutare
chesse ch'esse
dallajuto dall'ajuto
allUniversità all'Università
sirrigidiva s'irrigidiva
damorevolezze, d'amorevolezze,
tinsegare t'insegare
questorologino? quest'orologino?
dufficio d'ufficio
lamministrazione l'amministrazione
Simmaginava S'immaginava
limbarazzo, l'imbarazzo,
glinvitati, gl'invitati,
uningollatina un'ingollatina
dellufficio dell'ufficio
dUniversità d'Università
detnografia d'etnografia
saccostarono, s'accostarono,
dallinvidia. dall'invidia.
larpa, l'arpa,
lavevano; l'avevano;
sinveleniva, s'inveleniva,
Quellesserino Quell'esserino
dagonia. d'agonia.
cheran ch'eran
cera. c'era.
dintimità d'intimità
dallintimità dall'intimità
dIduccia. d'Iduccia.
Senzalcun Senz'alcun
dovè? dov'è?
Quandè Quand'è
Allospedale… All'ospedale…
dacqua… d'acqua…
dorrore d'orrore
sintesero s'intesero
allirruzione. all'irruzione.
letà l'età
sintrodusse s'introdusse
mabbracciare! m'abbracciare!
dallabbraccio, dall'abbraccio,
laccento l'accento
nellatroce nell'atroce
malerba, mal'erba,
minsegna… m'insegna…
mindicasse… m'indicasse…
savviò, s'avviò,
lindicazione, l'indicazione,
dingresso, d'ingresso,
nellattesa nell'attesa
Lestremo L'estremo
allinchino all'inchino
Lalcool L'alcool
sinfoscò s'infoscò
allingiunzione all'ingiunzione
dabbandonar d'abbandonar
dellaccaduto. dell'accaduto.
dingresso? d'ingresso?
dimmagini d'immagini
lenergia l'energia
questindole quest'indole
despandersi d'espandersi
dallattività dall'attività
trentotto trent'otto
questarresto quest'arresto
damore d'amore
nellodio nell'odio
Unemozione Un'emozione
linsieme l'insieme
dellarredo, dell'arredo,
dallimmobilità dall'immobilità
dallistintivo dall'istintivo
larma l'arma
lorrore l'orrore
dellultimo dell'ultimo
uninfamia, un'infamia,
tantaltra tant'altra
dallanima dall'anima
lonor l'onor
daccorgersene? d'accorgersene?
dAdriana, d'Adriana,
Dovera Dov'era
quellalternativa quell'alternativa
lorribile l'orribile
linfiammazione l'infiammazione
quellaltissima quell'altissima
larmamentario l'armamentario
unurna, un'urna,
dellaltro, dell'altro,
savvistava s'avvistava
lattenzione, l'attenzione,
debbrezza, d'ebbrezza,
derba… d'erba…
Dovera? Dov'era?
Unangosciosa Un'angosciosa
unacuta un'acuta
lodor l'odor
linvito. l'invito.
dellaccusa dell'accusa
unaura un'aura
dellinfermo. dell'infermo.
uninfamia! un'infamia!
Uninfamia Un'infamia
duccidermi, d'uccidermi,
Sinterruppe, S'interruppe,
donore… d'onore…
Lonore L'onore
linduzione l'induzione
dellaccusa, dell'accusa,
delladulterio, dell'adulterio,
ducciderti, d'ucciderti,
laspettava. l'aspettava.
lavermi l'avermi
maspettava? m'aspettava?
nappello n'appello
uningiustizia? un'ingiustizia?
leternità. l'eternità.
Mavete M'avete
nellignominia nell'ignominia
darte d'arte
lorlo l'orlo
quellombrellino quell'ombrellino
allinsaputa all'insaputa
stessora; stess'ora;
alluno, all'uno,
nellanima, nell'anima,
singegnavano s'ingegnavano
dincarnare d'incarnare
dinvaderne d'invaderne
dufficio. d'ufficio.
saccorsero s'accorsero
locchiolino l'occhiolino
dassegnare d'assegnare
laccordo, l'accordo,
glimpiegati gl'impiegati
lastio l'astio
glienaveva glien'aveva
linsidia, l'insidia,
sarrestarono s'arrestarono
nellonestà nell'onestà
dallamore) dall'amore)
lideale l'ideale
luomo? l'uomo?
dellombrellino dell'ombrellino
dinedia, d'inedia,
alluno all'uno
dellesistenza. dell'esistenza.
saccontentasse s'accontentasse
nellidea nell'idea
dimpaccio d'impaccio
LUSCITA L'USCITA
laugurio l'augurio
questaugurio quest'augurio
nellanima; nell'anima;
lagro, l'agro,
sintenerivano s'intenerivano
lamore… l'amore…
daccordo… d'accordo…
damare d'amare
nadombra, n'adombra,
anchio… anch'io…
lauguro l'auguro
dipocrita. d'ipocrita.
lipocrita l'ipocrita
questanimo quest'animo
deglirti degl'irti
allufficio; all'ufficio;
Questultima Quest'ultima
comegli com'egli
lufficio l'ufficio
daria… d'aria…
glielimpediva. gliel'impediva.
quarantanni! quarant'anni!
nellambascia nell'ambascia
daverla d'averla
quarantanni… quarant'anni…
saddormentava. s'addormentava.
mezzoretta mezz'oretta
unimpressione un'impressione
Comera Com'era
unirrisione, un'irrisione,
dastucci d'astucci
lavvilimento l'avvilimento
dallistintiva dall'istintiva
unaltra; un'altra;
dallimagine dall'imagine
limminenza l'imminenza
Taspetto, T'aspetto,
larresto l'arresto
dellunica dell'unica
saffacciò, s'affacciò,
saccorge s'accorge
Devessere Dev'essere
glinquilini gl'inquilini
naccidente n'accidente
laveveno l'aveveno
lombrellino. l'ombrellino.
Rosi! Rosi'!
Laccompagnatrice L'accompagnatrice
labbassò l'abbassò
lombrellino, l'ombrellino,
allaccompagnatrice all'accompagnatrice
questora… quest'ora…
lerta l'erta
lerta, l'erta,
tuttuno! tutt'uno!
saffollarono s'affollarono
saffacciarono s'affacciarono
linvolto l'involto
sarrivava s'arrivava
dottone, d'ottone,
donorato d'onorato
buonerba buon'erba
questoperazione, quest'operazione,
Tira Tir'a
taccorgerai t'accorgerai
dadesso? d'adesso?
Mè M'è
Tha T'ha
questaltre… quest'altre…
questè quest'è
simpenna s'impenna
LEPISTOLA L'EPISTOLA
lEpistola; l'Epistola;
lEpistola. l'Epistola.
lEpistola? l'Epistola?
soscurava s'oscurava
dellOspedale, dell'Ospedale,
allaltro: all'altro:
fossaltro, foss'altro,
danima d'anima
dellabito dell'abito
buonaria buon'aria
simmalinconiva s'immalinconiva
sassottigliava s'assottigliava
dessere, d'essere,
lerba, l'erba,
uninfinita un'infinita
daccetta; d'accetta;
allampio all'ampio
quellimmenso quell'immenso
dulivi d'ulivi
nelleternità nell'eternità
allorizzonte, all'orizzonte,
saccompagna s'accompagna
allansia all'ansia
luccellino! l'uccellino!
sarresta; s'arresta;
sullerba, sull'erba,
lEpistola l'Epistola
dilarità, d'ilarità,
sappigliasse s'appigliasse
nellincredulità. nell'incredulità.
dellingiuria dell'ingiuria
lirrisione. l'irrisione.
derba. d'erba.
dammirar d'ammirar
sindugiava s'indugiava
derba, d'erba,
derba? d'erba?
dellinutile dell'inutile
dellingombro dell'ingombro
saggravò. s'aggravò.
daltissima d'altissima
lIspettore: l'Ispettore:
Questobbligo Quest'obbligo
dellinserviente dell'inserviente
danidride d'anidride
unoretta un'oretta
allarmadio, all'armadio,
labito… l'abito…
lintestazione: l'intestazione:
davorio d'avorio
dinginocchiarsi. d'inginocchiarsi.
lestro l'estro
questallegria quest'allegria
safflisse, s'afflisse,
linvito: l'invito:
dellallegro dell'allegro
marriva m'arriva
lispettore. l'ispettore.
laspetti. l'aspetti.
lImbrò: l'Imbrò:
lImbrò l'Imbrò
allImbrò: all'Imbrò:
lImbrò. l'Imbrò.
dappetito d'appetito
dellelemento, dell'elemento,
dellImbrò: dell'Imbrò:
lorologio, l'orologio,
lora. l'ora.
«Unora «Un'ora
quellangoscia quell'angoscia
unidea, un'idea,
marrabatto. m'arrabatto.
mallontano m'allontano
saccoccolò, s'accoccolò,
unirrisione un'irrisione
lintendeva l'intendeva
lImbrò, l'Imbrò,
quandecco quand'ecco
dallacqua, dall'acqua,
mezzaffogato, mezz'affogato,
dellorbita. dell'orbita.
dellImbrò dell'Imbrò
allaffaruccio all'affaruccio
laccompagni? l'accompagni?
LImbrò L'Imbrò
lintento, l'intento,
sindorava s'indorava
laria, l'aria,
dellombra, dell'ombra,
sallontanasse s'allontanasse
lerto l'erto
lIspettore? l'Ispettore?
LIspettore L'Ispettore
laltre l'altre
saprivano, s'aprivano,
Lampia L'ampia
lurlo l'urlo
LAVEMARIA L'AVEMARIA
duno. d'uno.
allaperto: all'aperto:
saspettassero s'aspettassero
luniverso l'universo
nellintenzione, nell'intenzione,
lavemaria? l'avemaria?
ovè ov'è
cest c'est
nest n'est
dy d'y
SantAgostino Sant'Agostino
unavemaria… un'avemaria…
Allimpressione All'impressione
sestant s'estant
quelle qu'elle
Questultima, Quest'ultima,
SantAgostino! Sant'Agostino!
quellamico, quell'amico,
LIMBECILLE L'IMBECILLE
dallànsola dall'ànsola
Glielavrei Gliel'avrei
glielavrei gliel'avrei
Granduomo. Grand'uomo.
lunghia l'unghia
Luniverso, L'universo,
delluniverso? dell'universo?
lex-sindaco l'ex-sindaco
Allànsola All'ànsola
luniverso, l'universo,
duccidersi d'uccidersi
Glielavrebbe Gliel'avrebbe
Salzò S'alzò
saffettava. s'affettava.
nellatteggiamento nell'atteggiamento
dellavversario. dell'avversario.
lappostato, l'appostato,
Unimprovvisa Un'improvvisa
Maspettavi, M'aspettavi,
dellarma, dell'arma,
alluscio… all'uscio…
mafferrò m'afferrò
tuccidi? t'uccidi?
mammazzo. m'ammazzo.
larma, l'arma,
dimpiccarsi, d'impiccarsi,
dinsorgere: d'insorgere:
tuttuno tutt'uno
allultimo, all'ultimo,
dellarma. dell'arma.
tammazzo. t'ammazzo.
nellintronamento nell'intronamento
Glindicò Gl'indicò
dellarma dell'arma
mimporti m'importi
tammazzo… t'ammazzo…
duccidersi, d'uccidersi,
darma d'arma
questarma quest'arma
lospite, l'ospite,
daspetto, d'aspetto,
leco: l'eco:
(glienimportava (glien'importava
allintera all'intera
allocchiello, all'occhiello,
dallon. dall'on.
lex-sindaco, l'ex-sindaco,
quellenergumeno. quell'energumeno.
unindecenza un'indecenza
allinsú; all'insú;
qualcosaltro. qualcos'altro.
Lavvisatore L'avvisatore
quelleccitazione quell'eccitazione
unallucinazione? un'allucinazione?
ondè ond'è
saccosta, s'accosta,
Lex-sindaco? L'ex-sindaco?
dellautorità! dell'autorità!
laccollo l'accollo
dellantica dell'antica
lingresso l'ingresso
allimpegno all'impegno
quellimpegno quell'impegno
sarrotolava s'arrotolava
lorgasmo; l'orgasmo;
allannunzio all'annunzio
dellinvito dell'invito
lirrisione, l'irrisione,
quellintruso quell'intruso
Quellintruso Quell'intruso
dabitare d'abitare
unelegantissima un'elegantissima
Saccomodi. S'accomodi.
senzinvito, senz'invito,
allex-sindaco all'ex-sindaco
linterminabile l'interminabile
daffacciarsi d'affacciarsi
dobbligo, d'obbligo,
lospedale, l'ospedale,
dalzarsi, d'alzarsi,
moffende! m'offende!
allerta all'erta
limmagina, l'immagina,
comera? com'era?
landrone l'androne
mavviene m'avviene
lesplosione l'esplosione
sinsediava s'insediava
dallombra dall'ombra
lalberello, l'alberello,
lalberello l'alberello
allamore, all'amore,
naffliggete n'affliggete
naffliggo n'affliggo
nellocchio nell'occhio
detà. d'età.
labbandonerà l'abbandonerà
Devesser Dev'esser
allamo, all'amo,
lero l'ero
dunora, d'un'ora,
lalta l'alta
senzallargar senz'allargar
lammonimento l'ammonimento
tassicuro t'assicuro
damaca d'amaca
allaria. all'aria.
sacciuffava s'acciuffava
delluniverso! dell'universo!
devesserci dev'esserci
questinfinito, quest'infinito,
sapre, s'apre,
sapre s'apre
dellinfinito dell'infinito
dellamaca dell'amaca
mubriaco, m'ubriaco,
questeternità quest'eternità
dallamaca dall'amaca
unanima, un'anima,
unanima. un'anima.
mempio m'empio
dellusciolo, dell'usciolo,
lubriaco l'ubriaco
lanima… l'anima…
Mhanno M'hanno
laspirazione l'aspirazione
dallira dall'ira
allOlympia? all'Olympia?
mha… m'ha…
sopponga s'opponga
senzurti senz'urti
dintransigentissimi d'intransigentissimi
lesser l'esser
darricciare d'arricciare
senzarmi senz'armi
benedettuomo benedett'uomo
lhomo l'homo
quelleccesso quell'eccesso
uninutile un'inutile
am 'am
duemilanni duemil'anni
dapprovare d'approvare
duova d'uova
lasinello. l'asinello.
lacciarino l'acciarino
dellincenso dell'incenso
lincenso l'incenso
quarantanni; quarant'anni;
DAndrea; D'Andrea;
Larcana L'arcana
danima, d'anima,
dIstruzione d'Istruzione
nellufficio nell'ufficio
damministrarla d'amministrarla
dajutarsi d'ajutarsi
quellodiosa quell'odiosa
quellangolo quell'angolo
lincartamento l'incartamento
dallesasperazione dall'esasperazione
liniquità l'iniquità
safferravano s'afferravano
dellorologio. dell'orologio.
nellatto nell'atto
lesile l'esile
dIstruzione. d'Istruzione.
naccorse n'accorse
dosso, d'osso,
lassoluzione l'assoluzione
quellatteggiamento quell'atteggiamento
dovero dov'ero
questabito; quest'abito;
dellignoranza? dell'ignoranza?
langoscia l'angoscia
SantAngelo Sant'Angelo
SantAngelo, Sant'Angelo,
quellalto quell'alto
daltro: d'altro:
dAncona d'Ancona
unagra un'agra
dessi d'essi
dessi, d'essi,
latrocità l'atrocità
sinfiammarono, s'infiammarono,
simperlavano s'imperlavano
dinsegnamento d'insegnamento
allumido all'umido
quattranni, quattr'anni,
SantAngelo. Sant'Angelo.
dellestremo dell'estremo
dellondata, dell'ondata,
saffondava. s'affondava.
Lorma L'orma
simprimeva. s'imprimeva.
dallangoscia. dall'angoscia.
dellessere dell'essere
daffetto, d'affetto,
sabbatteva s'abbatteva
anchesse, anch'esse,
dalba. d'alba.
darcano d'arcano
allarrivo. all'arrivo.
anchella, anch'ella,
allavvenire all'avvenire
darcana d'arcana
luno, l'uno,
dallantica dall'antica
duniversità, d'università,
dentrambi. d'entrambi.
Dindole D'indole
Lannunzio L'annunzio
dindurre d'indurre
dellintimità dell'intimità
questintimità quest'intimità
lavvertimento l'avvertimento
lappannarsi l'appannarsi
allispida all'ispida
glimponeva gl'imponeva
Saccorsero, S'accorsero,
nellincoscienza nell'incoscienza
dellabbandono, dell'abbandono,
delluno dell'uno
quellambiguo quell'ambiguo
nellavvilimento nell'avvilimento
l l'
senzalzar senz'alzar
navrete n'avrete
Mavanza M'avanza
mavanza m'avanza
lassumo l'assumo
lassumo! l'assumo!
lopposizione; l'opposizione;
cero c'ero
ceri c'eri
nientaffatto! nient'affatto!
nientaffatto, nient'affatto,
senzastio, senz'astio,
dandare; d'andare;
dandare. d'andare.
poichegli poich'egli
lattesa l'attesa
daccordo? d'accordo?
dopporsi? d'opporsi?
lassegno l'assegno
quellajuto quell'ajuto
lambascia l'ambascia
lodio, l'odio,
quellargomento. quell'argomento.
Quellodio Quell'odio
onderano ond'erano
dindurir d'indurir
stessora stess'ora
saccorse, s'accorse,
savviava s'avviava
Sincupivano S'incupivano
comerano com'erano
allinvito all'invito
quellaltra… quell'altra…
Sabbandonò S'abbandonò
Nellaccensione Nell'accensione
quellultimo quell'ultimo
nellorgasmo, nell'orgasmo,
dattendere d'attendere
allospizio, all'ospizio,
dAlatri, d'Alatri,
lAmerica; l'America;
dellocchio, dell'occhio,
Saccordarono S'accordarono
dellacropoli, dell'acropoli,
daccertarsi d'accertarsi
quellaltro; quell'altro;
dunindicibile d'un'indicibile
dallAmerica. dall'America.
allavvenire. all'avvenire.
unidea…, un'idea…,
quellaccanita quell'accanita
senzaffermare senz'affermare
daccortezza: d'accortezza:
Dimprovviso, D'improvviso,
questannunzio, quest'annunzio,
duscire d'uscire
Lunico, L'unico,
dandarlo d'andarlo
questincarico. quest'incarico.
Sofferse S'offerse
dallaltro. dall'altro.
Lamore L'amore
dadottare d'adottare
quelladozione quell'adozione
maccolse m'accolse
lappannatura l'appannatura
dalberi d'alberi
Laltra, L'altra,
dallimpotenza dall'impotenza
dineffabile d'ineffabile
tama t'ama
tinganna. t'inganna.
nellombra. nell'ombra.
larido l'arido
sintende! s'intende!
dallapparenza dall'apparenza
dAdamo d'Adamo
quelluna, quell'una,
quellandare quell'andare
Limbarazzo L'imbarazzo
dellaltra! dell'altra!
cerano, c'erano,
unentratuccia un'entratuccia
delluna dell'una
to, to',
simpostava s'impostava
lammazzo! l'ammazzo!
allatto all'atto
lammazzo!» l'ammazzo!»
Lammassi L'ammassi
saccostava s'accostava
lorinaletto l'orinaletto
So So'
dobbedire d'obbedire
Lonta, L'onta,
Nellanticamera Nell'anticamera
sinvetravano s'invetravano
lúrgere l'úrgere
dansietà d'ansietà
lavvertivano; l'avvertivano;
lesasperazione, l'esasperazione,
daglio d'aglio
saccorgevano s'accorgevano
unintensa un'intensa
unespressione un'espressione
dallurgenza dall'urgenza
dimplorazione d'implorazione
saprí s'aprí
lerbuccia l'erbuccia
limplorazione l'implorazione
lanticamera, l'anticamera,
centravano. c'entravano.
dellindignazione dell'indignazione
dellesaltazione, dell'esaltazione,
dallautorità… dall'autorità…
questuomo, quest'uomo,
du… d'u…
dumanità, d'umanità,
loltracotante l'oltracotante
allarringatore; all'arringatore;
lusurpazione l'usurpazione
nellincertezza, nell'incertezza,
dellidropisia. dell'idropisia.
daffannoso d'affannoso
sintravidero s'intravidero
quellinganno quell'inganno
allimpazienza all'impazienza
dellattesa, dell'attesa,
unenorme un'enorme
linsolita l'insolita
Lerbuccia!… L'erbuccia!…
lerbuccia… l'erbuccia…
savviarono s'avviarono
LUOMO L'UOMO
daspetti d'aspetti
senzesserne senz'esserne
unattesa un'attesa
domettino d'omettino
cinquantanni. cinquant'anni.
lirrequietezza l'irrequietezza
lamore. l'amore.
Lammogliato, L'ammogliato,
lammogliato l'ammogliato
